"","CBSAFP","metro_area","CSAFP"
"465",29860,"mississippi nonmetropolitan area",279
"466",29900,"fayetteville metropolitan area",246
"467",29940,"kansas city metropolitan area",312
"468",29980,"nashville metropolitan area",400
"469",30020,"oklahoma nonmetropolitan area",NA
"470",30060,"missouri nonmetropolitan area",NA
"471",30100,"new hampshire nonmetropolitan area",NA
"472",30140,"pennsylvania nonmetropolitan area",276
"473",30220,"lubbock metropolitan area",352
"474",30260,"pennsylvania nonmetropolitan area",146
"475",30280,"nashville metropolitan area",400
"476",30300,"idaho nonmetropolitan area",NA
"477",30340,"maine nonmetropolitan area",438
"478",30380,"pennsylvania nonmetropolitan area",NA
"479",30420,"nebraska nonmetropolitan area",NA
"480",30460,"lexington metropolitan area",336
"481",30580,"kansas nonmetropolitan area",NA
"482",30620,"ohio nonmetropolitan area",338
"483",30660,"illinois nonmetropolitan area",522
"484",30700,"lincoln metropolitan area",339
"485",30780,"little rock metropolitan area",340
"486",30820,"pennsylvania nonmetropolitan area",558
"487",30860,"utah nonmetropolitan area",NA
"488",30900,"indiana nonmetropolitan area",NA
"489",30940,"kentucky nonmetropolitan area",NA
"490",30980,"texas nonmetropolitan area",NA
"491",31020,"portland metropolitan area",440
"492",31060,"albuquerque metropolitan area",106
"493",31080,"los angeles metropolitan area",348
"494",31140,"louisville metropolitan area",350
"495",31180,"lubbock metropolitan area",352
"496",31220,"michigan nonmetropolitan area",NA
"497",31260,"texas nonmetropolitan area",NA
"498",31300,"fayetteville metropolitan area",246
"499",31340,"virginia nonmetropolitan area",NA
"500",31380,"illinois nonmetropolitan area",NA
"501",31420,"georgia nonmetropolitan area (united states)",356
"502",31460,"fresno metropolitan area",260
"503",31500,"indiana nonmetropolitan area",NA
"504",31540,"madison metropolitan area",357
"505",31580,"kentucky nonmetropolitan area",NA
"506",31620,"arkansas nonmetropolitan area",NA
"507",31660,"new york nonmetropolitan area",NA
"508",31680,"arkansas nonmetropolitan area",284
"509",31700,"boston metropolitan area",148
"510",31740,"kansas nonmetropolitan area",NA
"511",31820,"wisconsin nonmetropolitan area",NA
"512",31860,"minnesota nonmetropolitan area",359
"513",31900,"ohio nonmetropolitan area",360
"514",31930,"ohio nonmetropolitan area",425
"515",31940,"wisconsin nonmetropolitan area",361
"516",31980,"indiana nonmetropolitan area",NA
"517",32000,"north carolina nonmetropolitan area",120
"518",32020,"columbus metropolitan area",198
"519",32100,"michigan nonmetropolitan area",NA
"520",32140,"minnesota nonmetropolitan area",NA
"521",32180,"missouri nonmetropolitan area",NA
"522",32260,"iowa nonmetropolitan area",NA
"523",32280,"tennessee nonmetropolitan area",362
"524",32300,"virginia nonmetropolitan area",NA
"525",32340,"missouri nonmetropolitan area",NA
"526",32380,"iowa nonmetropolitan area",NA
"527",32460,"kentucky nonmetropolitan area",424
"528",32500,"cincinnati metropolitan area",178
"529",32540,"oklahoma nonmetropolitan area",NA
"530",32580,"texas nonmetropolitan area",365
"531",32620,"mississippi nonmetropolitan area",NA
"532",32660,"tennessee nonmetropolitan area",NA
"533",32700,"kansas nonmetropolitan area",NA
"534",32740,"pennsylvania nonmetropolitan area",240
"535",32780,"oregon nonmetropolitan area",366
"536",32820,"memphis metropolitan area",368
"537",32860,"wisconsin nonmetropolitan area",232
"538",32900,"california nonmetropolitan area",488
"539",32940,"mississippi nonmetropolitan area",NA
"540",33020,"missouri nonmetropolitan area",190
"541",33060,"oklahoma nonmetropolitan area",309
"542",33100,"miami metropolitan area",370
"543",33140,"chicago metropolitan area",176
"544",33180,"kentucky nonmetropolitan area",NA
"545",33220,"michigan nonmetropolitan area",474
"546",33260,"texas nonmetropolitan area",372
"547",33300,"georgia nonmetropolitan area (united states)",NA
"548",33340,"milwaukee metropolitan area",376
"549",33380,"louisiana nonmetropolitan area",508
"550",33420,"dallas metropolitan area",206
"551",33460,"minneapolis metropolitan area",378
"552",33500,"north dakota nonmetropolitan area",NA
"553",33540,"montana nonmetropolitan area",NA
"554",33580,"south dakota nonmetropolitan area",NA
"555",33620,"missouri nonmetropolitan area",190
"556",33660,"mobile metropolitan area",380
"557",33700,"stockton metropolitan area",488
"558",33740,"louisiana nonmetropolitan area",384
"559",33780,"detroit metropolitan area",220
"560",33860,"alabama nonmetropolitan area",388
"561",33940,"colorado nonmetropolitan area",NA
"562",33980,"north carolina nonmetropolitan area",404
"563",34020,"louisiana nonmetropolitan area",318
"564",34060,"west virginia nonmetropolitan area",390
"565",34100,"knoxville metropolitan area",315
"566",34140,"idaho nonmetropolitan area",446
"567",34180,"washington nonmetropolitan area",393
"568",34220,"georgia nonmetropolitan area (united states)",NA
"569",34260,"arkansas nonmetropolitan area",NA
"570",34300,"boise metropolitan area",147
"571",34340,"greensboro metropolitan area",268
"572",34350,"west virginia nonmetropolitan area",170
"573",34380,"michigan nonmetropolitan area",394
"574",34420,"texas nonmetropolitan area",NA
"575",34460,"lexington metropolitan area",336
"576",34500,"illinois nonmetropolitan area",NA
"577",34540,"columbus metropolitan area",198
"578",34580,"seattle metropolitan area",500
"579",34620,"indianapolis metropolitan area",294
"580",34660,"kentucky nonmetropolitan area",NA
"581",34700,"iowa nonmetropolitan area",209
"582",34740,"grand rapids metropolitan area",266
"583",34780,"tulsa metropolitan area",538
"584",34820,"south carolina nonmetropolitan area",396
"585",34860,"texas nonmetropolitan area",NA
"586",34900,"san francisco metropolitan area",488
"587",34940,"florida nonmetropolitan area",163
"588",34980,"nashville metropolitan area",400
"589",35020,"mississippi nonmetropolitan area",NA
"590",35060,"louisiana nonmetropolitan area",NA
"591",35100,"north carolina nonmetropolitan area",404
"592",35140,"columbia metropolitan area",192
"593",35220,"indianapolis metropolitan area",294
"594",35260,"pittsburgh metropolitan area",430
"595",35300,"new york city metropolitan area",408
"596",35380,"new orleans metropolitan area",406
"597",35420,"cleveland metropolitan area",184
"598",35440,"oregon nonmetropolitan area",NA
"599",35460,"knoxville metropolitan area",315
"600",35580,"minnesota nonmetropolitan area",359
"601",35620,"new york city metropolitan area",408
"602",35660,"michigan nonmetropolitan area",515
"603",35700,"tucson metropolitan area",536
"604",35740,"nebraska nonmetropolitan area",NA
"605",35820,"nebraska nonmetropolitan area",NA
"606",35840,"florida nonmetropolitan area",412
"607",35860,"indianapolis metropolitan area",294
"608",35900,"north carolina nonmetropolitan area",NA
"609",35940,"cleveland metropolitan area",184
"610",35980,"hartford metropolitan area",278
"611",36020,"seattle metropolitan area",500
"612",36100,"florida nonmetropolitan area",NA
"613",36140,"philadelphia metropolitan area",428
"614",36220,"texas nonmetropolitan area",372
"615",36260,"salt lake city metropolitan area",482
"616",36300,"new york nonmetropolitan area",NA
"617",36340,"pennsylvania nonmetropolitan area",NA
"618",36380,"florida nonmetropolitan area",NA
"619",36420,"oklahoma city metropolitan area",416
"620",36460,"buffalo metropolitan area",160
"621",36500,"seattle metropolitan area",500
"622",36540,"omaha metropolitan area",420
"623",36580,"new york nonmetropolitan area",NA
"624",36620,"boise metropolitan area",147
"625",36660,"louisiana nonmetropolitan area",318
"626",36700,"columbia metropolitan area",192
"627",36740,"orlando metropolitan area",422
"628",36780,"wisconsin nonmetropolitan area",118
"629",36820,"des moines metropolitan area",218
"630",36830,"washington nonmetropolitan area",393
"631",36837,"chicago metropolitan area",176
"632",36840,"kansas city metropolitan area",312
"633",36900,"iowa nonmetropolitan area",NA
"634",36940,"minneapolis metropolitan area",378
"635",36980,"kentucky nonmetropolitan area",NA
"636",37060,"mississippi nonmetropolitan area",NA
"637",37100,"los angeles metropolitan area",348
"638",37120,"alabama nonmetropolitan area",222
"639",37140,"kentucky nonmetropolitan area",424
"640",37220,"las vegas metropolitan area",332
"641",37260,"jacksonville metropolitan area",300
"642",37300,"texas nonmetropolitan area",NA
"643",37340,"florida nonmetropolitan area",NA
"644",37420,"texas nonmetropolitan area",108
"645",37460,"florida nonmetropolitan area",NA
"646",37500,"arkansas nonmetropolitan area",308
"647",37540,"tennessee nonmetropolitan area",NA
"648",37580,"texas nonmetropolitan area",NA
"649",37620,"west virginia nonmetropolitan area",425
"650",37660,"kansas nonmetropolitan area",NA
"651",37740,"phoenix metropolitan area",429
"652",37770,"san antonio metropolitan area",484
"653",37780,"texas nonmetropolitan area",NA
"654",37800,"des moines metropolitan area",218
"655",37860,"florida nonmetropolitan area",426
"656",37900,"illinois nonmetropolitan area",NA
"657",37940,"indiana nonmetropolitan area",316
"658",37980,"philadelphia metropolitan area",428
"659",38060,"phoenix metropolitan area",429
"660",38100,"new orleans metropolitan area",406
"661",38180,"south dakota nonmetropolitan area",NA
"662",38220,"little rock metropolitan area",340
"663",38240,"fayetteville metropolitan area",246
"664",38260,"kansas nonmetropolitan area",NA
"665",38300,"pittsburgh metropolitan area",430
"666",38340,"massachusetts nonmetropolitan area",NA
"667",38380,"lubbock metropolitan area",352
"668",38420,"wisconsin nonmetropolitan area",NA
"669",38460,"new york nonmetropolitan area",NA
"670",38500,"indiana nonmetropolitan area",515
"671",38540,"idaho nonmetropolitan area",NA
"672",38580,"west virginia nonmetropolitan area",170
"673",38620,"oklahoma nonmetropolitan area",NA
"674",38700,"illinois nonmetropolitan area",145
"675",38740,"missouri nonmetropolitan area",NA
"676",38780,"new mexico nonmetropolitan area",188
"677",38820,"washington nonmetropolitan area",NA
"678",38860,"maine nonmetropolitan area",438
"679",38900,"portland metropolitan area",440
"680",38920,"texas nonmetropolitan area",544
"681",38940,"miami metropolitan area",370
"682",39020,"ohio nonmetropolitan area",170
"683",39060,"pennsylvania nonmetropolitan area",NA
"684",39100,"new york city metropolitan area",408
"685",39150,"arizona nonmetropolitan area",NA
"686",39220,"utah nonmetropolitan area",NA
"687",39260,"oregon nonmetropolitan area",140
"688",39300,"providence metropolitan area",148
"689",39340,"salt lake city metropolitan area",482
"690",39380,"colorado nonmetropolitan area",444
"691",39420,"washington nonmetropolitan area",446
"692",39460,"florida nonmetropolitan area",412
"693",39500,"illinois nonmetropolitan area",448
"694",39540,"milwaukee metropolitan area",376
"695",39580,"raleigh metropolitan area",450
"696",39660,"south dakota nonmetropolitan area",452
"697",39700,"texas nonmetropolitan area",154
"698",39740,"philadelphia metropolitan area",428
"699",39780,"california nonmetropolitan area",454
"700",39820,"california nonmetropolitan area",454
"701",39860,"minneapolis metropolitan area",378
"702",39900,"reno metropolitan area",456
"703",39940,"idaho nonmetropolitan area",292
"704",39980,"indiana nonmetropolitan area",458
"705",40060,"richmond metropolitan area",NA
"706",40080,"lexington metropolitan area",336
"707",40100,"texas nonmetropolitan area",365
"708",40140,"los angeles metropolitan area",348
"709",40180,"wyoming nonmetropolitan area",NA
"710",40220,"virginia nonmetropolitan area",NA
"711",40260,"north carolina nonmetropolitan area",468
"712",40300,"illinois nonmetropolitan area",466
"713",40340,"minnesota nonmetropolitan area",462
"714",40380,"rochester metropolitan area",464
"715",40420,"illinois nonmetropolitan area",466
"716",40460,"north carolina nonmetropolitan area",NA
"717",40530,"corpus christi metropolitan area",204
"718",40540,"wyoming nonmetropolitan area",NA
"719",40580,"north carolina nonmetropolitan area",468
"720",40620,"missouri nonmetropolitan area",NA
"721",40660,"atlanta metropolitan area",122
"722",40700,"oregon nonmetropolitan area",NA
"723",40740,"new mexico nonmetropolitan area",NA
"724",40760,"new mexico nonmetropolitan area",NA
"725",40780,"arkansas nonmetropolitan area",NA
"726",40820,"louisiana nonmetropolitan area",384
"727",40860,"vermont nonmetropolitan area",NA
"728",40900,"sacramento metropolitan area",472
"729",40940,"arizona nonmetropolitan area",NA
"730",40980,"michigan nonmetropolitan area",474
"731",41060,"minneapolis metropolitan area",378
"732",41100,"utah nonmetropolitan area",NA
"733",41140,"kansas city metropolitan area",312
"734",41180,"st louis metropolitan area",476
"735",41220,"jacksonville metropolitan area",300
"736",41260,"pennsylvania nonmetropolitan area",NA
"737",41400,"ohio nonmetropolitan area",566
"738",41420,"portland metropolitan area",440
"739",41460,"kansas nonmetropolitan area",NA
"740",41500,"california nonmetropolitan area",NA
"741",41540,"maryland nonmetropolitan area",480
"742",41620,"salt lake city metropolitan area",482
"743",41660,"texas nonmetropolitan area",NA
"744",41700,"san antonio metropolitan area",484
"745",41740,"san diego metropolitan area",NA
"746",41760,"idaho nonmetropolitan area",NA
"747",41780,"cleveland metropolitan area",184
"748",41820,"fayetteville metropolitan area",246
"749",41860,"san francisco metropolitan area",488
"750",41940,"san jose metropolitan area (california)",488
"751",42020,"california nonmetropolitan area",NA
"752",42100,"san jose metropolitan area (california)",488
"753",42140,"albuquerque metropolitan area",106
"754",42200,"california nonmetropolitan area",NA
"755",42220,"san francisco metropolitan area",488
"756",42300,"michigan nonmetropolitan area",NA
"757",42340,"savannah metropolitan area",496
"758",42380,"pennsylvania nonmetropolitan area",NA
"759",42420,"nebraska nonmetropolitan area",NA
"760",42460,"alabama nonmetropolitan area",497
"761",42500,"louisville metropolitan area",350
"762",42540,"pennsylvania nonmetropolitan area",NA
"763",42620,"little rock metropolitan area",340
"764",42660,"seattle metropolitan area",500
"765",42680,"miami metropolitan area",370
"766",42700,"florida nonmetropolitan area",NA
"767",42740,"missouri nonmetropolitan area",NA
"768",42780,"pennsylvania nonmetropolitan area",146
"769",42820,"alabama nonmetropolitan area",388
"770",42860,"greenville metropolitan area",273
"771",42900,"rochester metropolitan area",464
"772",42940,"knoxville metropolitan area",315
"773",42980,"indianapolis metropolitan area",294
"774",43020,"wisconsin nonmetropolitan area",267
"775",43060,"oklahoma city metropolitan area",416
"776",43100,"wisconsin nonmetropolitan area",NA
"777",43140,"charlotte metropolitan area",172
"778",43180,"nashville metropolitan area",400
"779",43220,"seattle metropolitan area",500
"780",43260,"wyoming nonmetropolitan area",NA
"781",43300,"dallas metropolitan area",206
"782",43320,"arizona nonmetropolitan area",NA
"783",43340,"louisiana nonmetropolitan area",508
"784",43380,"dayton metropolitan area",212
"785",43420,"arizona nonmetropolitan area",NA
"786",43460,"missouri nonmetropolitan area",164
"787",43500,"new mexico nonmetropolitan area",NA
"788",43580,"iowa nonmetropolitan area",NA
"789",43620,"south dakota nonmetropolitan area",NA
"790",43660,"texas nonmetropolitan area",NA
"791",43700,"kentucky nonmetropolitan area",NA
"792",43740,"pennsylvania nonmetropolitan area",306
"793",43760,"california nonmetropolitan area",NA
"794",43780,"indiana nonmetropolitan area",515
"795",43900,"greenville metropolitan area",273
"796",43940,"south dakota nonmetropolitan area",452
"797",43980,"iowa nonmetropolitan area",517
"798",44020,"iowa nonmetropolitan area",517
"799",44060,"spokane metropolitan area",518
"800",44100,"illinois nonmetropolitan area",522
"801",44140,"massachusetts nonmetropolitan area",NA
"802",44180,"springfield metropolitan area",NA
"803",44220,"dayton metropolitan area",212
"804",44260,"mississippi nonmetropolitan area",NA
"805",44300,"pennsylvania nonmetropolitan area",524
"806",44340,"savannah metropolitan area",496
"807",44420,"virginia nonmetropolitan area",277
"808",44460,"colorado nonmetropolitan area",525
"809",44500,"texas nonmetropolitan area",NA
"810",44540,"colorado nonmetropolitan area",NA
"811",44580,"illinois nonmetropolitan area",221
"812",44620,"wisconsin nonmetropolitan area",554
"813",44660,"oklahoma nonmetropolitan area",NA
"814",44700,"stockton metropolitan area",488
"815",44740,"iowa nonmetropolitan area",NA
"816",44780,"michigan nonmetropolitan area",310
"817",44860,"texas nonmetropolitan area",NA
"818",44900,"chattanooga metropolitan area",174
"819",44940,"south carolina nonmetropolitan area",NA
"820",44980,"pennsylvania nonmetropolitan area",146
"821",45000,"california nonmetropolitan area",NA
"822",45020,"texas nonmetropolitan area",NA
"823",45060,"syracuse metropolitan area",532
"824",45140,"oklahoma nonmetropolitan area",NA
"825",45180,"birmingham metropolitan area (alabama)",142
"826",45220,"tallahassee metropolitan area",NA
"827",45300,"tampa metropolitan area",NA
"828",45340,"new mexico nonmetropolitan area",NA
"829",45380,"illinois nonmetropolitan area",522
"830",45460,"indiana nonmetropolitan area",NA
"831",45500,"texas nonmetropolitan area",NA
"832",45520,"oregon nonmetropolitan area",NA
"833",45540,"orlando metropolitan area",422
"834",45580,"atlanta metropolitan area",122
"835",45620,"georgia nonmetropolitan area (united states)",NA
"836",45660,"toledo metropolitan area",534
"837",45700,"georgia nonmetropolitan area (united states)",NA
"838",45740,"atlanta metropolitan area",122
"839",45780,"toledo metropolitan area",534
"840",45820,"kansas nonmetropolitan area",NA
"841",45860,"new york city metropolitan area",408
"842",45900,"michigan nonmetropolitan area",NA
"843",45940,"new york city metropolitan area",408
"844",45980,"alabama nonmetropolitan area",NA
"845",46020,"sacramento metropolitan area",472
"846",46060,"tucson metropolitan area",536
"847",46100,"tennessee nonmetropolitan area",NA
"848",46140,"tulsa metropolitan area",538
"849",46180,"mississippi nonmetropolitan area",539
"850",46220,"alabama nonmetropolitan area",NA
"851",46300,"idaho nonmetropolitan area",NA
"852",46340,"texas nonmetropolitan area",540
"853",46380,"california nonmetropolitan area",NA
"854",46420,"greenville metropolitan area",273
"855",46460,"tennessee nonmetropolitan area",362
"856",46500,"dayton metropolitan area",212
"857",46520,"honolulu metropolitan area",NA
"858",46540,"new york nonmetropolitan area",NA
"859",46620,"texas nonmetropolitan area",NA
"860",46660,"georgia nonmetropolitan area (united states)",NA
"861",46700,"san jose metropolitan area (california)",488
"862",46780,"ohio nonmetropolitan area",338
"863",46820,"south dakota nonmetropolitan area",NA
"864",46860,"utah nonmetropolitan area",NA
"865",46900,"texas nonmetropolitan area",NA
"866",46980,"jackson metropolitan area",298
"867",47020,"texas nonmetropolitan area",544
"868",47080,"georgia nonmetropolitan area (united states)",NA
"869",47180,"indiana nonmetropolitan area",NA
"870",47220,"philadelphia metropolitan area",428
"871",47240,"massachusetts nonmetropolitan area",NA
"872",47260,"virginia beach metropolitan area",545
"873",47300,"california nonmetropolitan area",NA
"874",47340,"indiana nonmetropolitan area",NA
"875",47380,"texas nonmetropolitan area",NA
"876",47420,"north dakota nonmetropolitan area",244
"877",47460,"washington nonmetropolitan area",313
"878",47540,"ohio nonmetropolitan area",338
"879",47580,"georgia nonmetropolitan area (united states)",356
"880",47620,"pennsylvania nonmetropolitan area",NA
"881",47660,"kansas city metropolitan area",312
"882",47700,"indiana nonmetropolitan area",515
"883",47780,"indiana nonmetropolitan area",NA
"884",47820,"north carolina nonmetropolitan area",272
"885",47900,"washington metropolitan area",548
"886",47920,"columbus metropolitan area",198
"887",47940,"iowa nonmetropolitan area",NA
"888",47980,"south dakota nonmetropolitan area",NA
"889",48020,"milwaukee metropolitan area",376
"890",48060,"new york nonmetropolitan area",NA
"891",48100,"orlando metropolitan area",422
"892",48140,"wisconsin nonmetropolitan area",554
"893",48180,"georgia nonmetropolitan area (united states)",NA
"894",48220,"oklahoma nonmetropolitan area",NA
"895",48260,"pittsburgh metropolitan area",430
"896",48300,"washington nonmetropolitan area",NA
"897",48460,"missouri nonmetropolitan area",NA
"898",48500,"mississippi nonmetropolitan area",200
"899",48540,"west virginia nonmetropolitan area",NA
"900",48580,"milwaukee metropolitan area",376
"901",48620,"wichita metropolitan area",556
"902",48660,"texas nonmetropolitan area",NA
"903",48700,"pennsylvania nonmetropolitan area",558
"904",48780,"north dakota nonmetropolitan area",NA
"905",48820,"minnesota nonmetropolitan area",NA
"906",48900,"wilmington metropolitan area",NA
"907",48940,"cincinnati metropolitan area",178
"908",48980,"north carolina nonmetropolitan area",468
"909",49020,"washington metropolitan area",548
"910",49060,"wichita metropolitan area",556
"911",49080,"nevada nonmetropolitan area",NA
"912",49100,"minnesota nonmetropolitan area",NA
"913",49180,"greensboro metropolitan area",268
"914",49220,"wisconsin nonmetropolitan area",554
"915",49260,"oklahoma nonmetropolitan area",NA
"916",49300,"cleveland metropolitan area",184
"917",49340,"boston metropolitan area",148
"918",49380,"minnesota nonmetropolitan area",NA
"919",49420,"washington nonmetropolitan area",NA
"920",49460,"south dakota nonmetropolitan area",NA
"921",49620,"pennsylvania nonmetropolitan area",276
"922",49660,"ohio nonmetropolitan area",566
"923",49700,"sacramento metropolitan area",472
"924",49740,"arizona nonmetropolitan area",NA
"925",49780,"columbus metropolitan area",198
"926",49820,"texas nonmetropolitan area",NA
